"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
5277.83799183056,4558.41953508145,6110.79644022109,4218.1729208364,6603.7060098728
5108.16224935577,4150.11857309281,6287.3677236402,3717.99924871684,7018.10834812535
5205.60727134397,4103.37454925768,6603.91751671109,3617.77401950308,7490.33712923599
5190.76726605679,4021.2901364391,6700.353343374,3512.98596473083,7669.846985122
5397.0698407159,4104.49247550689,7096.70270791955,3550.73581401866,8203.47229173274
5659.45540039429,4215.1762919916,7598.59925429565,3606.43736155803,8881.18445379429
5768.73444147352,4210.11299089779,7904.37148081061,3563.55278405874,9338.51666379421
5441.35710307381,3900.09853882165,7591.69719135289,3269.73239417967,9055.28757517787
5217.4495509126,3678.46683817434,7400.30589206794,3057.12590265322,8904.36988306332
5390.79116660517,3741.01944142256,7768.10435149669,3083.18147889088,9425.53320357983
5422.12808626877,3705.15333988483,7934.75202967402,3028.78183061734,9706.69880765638
5469.62251666593,3682.31240266935,8124.45202996135,2986.45354645312,10017.4906488499
5669.83857194617,3762.90824798233,8543.14464062892,3028.80424972228,10613.7824637813
5796.00695182665,3794.05961697371,8854.28801259018,3031.70775229135,11080.7832846793
5532.61954957972,3573.68202620661,8565.36167905331,2835.52819435324,10795.1242175441
5385.90989808512,3434.13106975127,8446.97678717086,2706.17580409632,10719.1947346444
5503.71794276278,3465.30047740256,8741.20769353709,2712.58139586057,11166.8211098525
5470.12573140136,3402.16983391763,8795.05638402639,2645.93048476214,11308.7912511916
5385.96084818103,3310.02966358052,8763.84117559836,2558.0375374078,11340.1675440365
5578.97997310904,3388.89424018132,9184.41690251343,2602.86437691633,11957.9866766728
5670.30312294958,3405.32986441429,9441.76887006568,2599.75354706878,12367.4559622713
5373.37777542814,3191.22873989332,9047.67131121736,2421.96320460043,11921.3985838519
5245.10057656342,3081.22644208303,8928.61351652798,2325.00351431541,11832.7047201761
5309.15654288246,3085.67420971811,9134.84097188815,2315.21335065274,12174.7497650205
5271.18278050777,3031.63694425978,9165.13699245271,2262.07313580524,12283.143045077
5323.25744552946,3030.23213927708,9351.4518125813,2248.737248254,12601.3254120225
5602.31871428522,3157.00851750531,9941.68207098528,2330.31367094127,13468.5623518455
5647.13504683254,3150.80619745068,10121.2617465862,2313.53674821265,13784.148560338
5396.78003097115,2981.85183749052,9767.49895367045,2178.18669241564,13371.3215694972
5222.69097239903,2858.06582547777,9543.69236356501,2077.16969722186,13131.5708243095
5287.83592344458,2866.47334752692,9754.5678481172,2072.87463054181,13489.0978650081
