date,load
2011-07-01,5361.15104
2011-07-02,5164.426661
2011-07-03,4993.045838
2011-07-04,4838.668204
2011-07-05,4708.920492
2011-07-06,4618.983129
2011-07-07,4546.289867
2011-07-08,4469.308441
2011-07-09,4397.367826
2011-07-10,4311.915378
2011-07-11,4268.688811
2011-07-12,4233.223077
2011-07-13,4215.898537
2011-07-14,4200.215802
2011-07-15,4178.197075
2011-07-16,4159.017292
2011-07-17,4144.018452
2011-07-18,4132.698334
2011-07-19,4124.332483
2011-07-20,4121.217203
2011-07-21,4113.702776
2011-07-22,4106.947764
2011-07-23,4101.579701
2011-07-24,4099.36123
2011-07-25,4100.406626
2011-07-26,4096.833727
2011-07-27,4094.284322
2011-07-28,4112.178172
2011-07-29,4140.479948
2011-07-30,4152.946359
2011-07-31,4158.218923
