date,load
2011-07-01,5216.800472
2011-07-02,4736.605369
2011-07-03,3992.634626
2011-07-04,3637.417045
2011-07-05,4285.588473
2011-07-06,4366.525175
2011-07-07,3811.842426
2011-07-08,3354.080788
2011-07-09,3216.464234
2011-07-10,3630.033817
2011-07-11,3674.145721
2011-07-12,3610.851136
2011-07-13,3786.357731
2011-07-14,4083.458972
2011-07-15,4317.436837
2011-07-16,4428.846276
2011-07-17,4565.747373
2011-07-18,4442.887811
2011-07-19,4348.700821
2011-07-20,4003.366213
2011-07-21,4214.991992
2011-07-22,4611.347592
2011-07-23,4765.213775
2011-07-24,4798.229362
2011-07-25,4882.006262
2011-07-26,5095.686418
2011-07-27,6077.987466
2011-07-28,6009.504928
2011-07-29,5722.003335
2011-07-30,5596.580284
2011-07-31,5671.663972
